step   t[s]            hdot[m/s]       h[m]            R[m]            Dt[s]   
   65  1.16933192E+01  4.61881943E-06  4.25920173E-04  1.93306279E-02  2.00000000E-01
   66  1.18933192E+01  4.52956436E-06  4.24996409E-04  1.93516248E-02  2.00000000E-01
   67  1.20933192E+01  4.44342702E-06  4.24090496E-04  1.93722826E-02  2.00000000E-01
   68  1.22933192E+01  4.36025086E-06  4.23201811E-04  1.93926120E-02  2.00000000E-01
   69  1.24933192E+01  4.27988952E-06  4.22329760E-04  1.94126231E-02  2.00000000E-01
   70  1.26933192E+01  4.20220602E-06  4.21473783E-04  1.94323258E-02  2.00000000E-01
   71  1.28933192E+01  4.12707202E-06  4.20633341E-04  1.94517294E-02  2.00000000E-01
   72  1.30933192E+01  4.05436716E-06  4.19807927E-04  1.94708427E-02  2.00000000E-01
   73  1.32933192E+01  3.98397846E-06  4.18997054E-04  1.94896743E-02  2.00000000E-01
   74  1.34933192E+01  3.91579973E-06  4.18200258E-04  1.95082323E-02  2.00000000E-01
   75  1.36933192E+01  3.84973112E-06  4.17417098E-04  1.95265244E-02  2.00000000E-01
   76  1.38933192E+01  3.78567865E-06  4.16647152E-04  1.95445582E-02  2.00000000E-01
   77  1.40933192E+01  3.72355373E-06  4.15890016E-04  1.95623407E-02  2.00000000E-01
   78  1.42933192E+01  3.66327286E-06  4.15145305E-04  1.95798789E-02  2.00000000E-01
   79  1.44933192E+01  3.60475723E-06  4.14412651E-04  1.95971792E-02  2.00000000E-01
   80  1.46933192E+01  3.54793238E-06  4.13691699E-04  1.96142480E-02  2.00000000E-01
   81  1.48933192E+01  3.49272797E-06  4.12982113E-04  1.96310914E-02  2.00000000E-01
   82  1.50933192E+01  3.43907743E-06  4.12283567E-04  1.96477152E-02  2.00000000E-01
   83  1.52933192E+01  3.38691776E-06  4.11595752E-04  1.96641249E-02  2.00000000E-01
   84  1.54933192E+01  3.33618926E-06  4.10918368E-04  1.96803260E-02  2.00000000E-01
   85  1.56933192E+01  3.28683535E-06  4.10251130E-04  1.96963237E-02  2.00000000E-01
   86  1.58933192E+01  3.23880237E-06  4.09593763E-04  1.97121229E-02  2.00000000E-01
   87  1.60933192E+01  3.19203935E-06  4.08946003E-04  1.97277285E-02  2.00000000E-01
   88  1.62933192E+01  3.14649792E-06  4.08307595E-04  1.97431451E-02  2.00000000E-01
   89  1.64933192E+01  3.10213206E-06  4.07678295E-04  1.97583771E-02  2.00000000E-01
   90  1.66933192E+01  3.05889803E-06  4.07057869E-04  1.97734290E-02  2.00000000E-01
   91  1.68933192E+01  3.01675420E-06  4.06446089E-04  1.97883048E-02  2.00000000E-01
   92  1.70933192E+01  2.97566095E-06  4.05842738E-04  1.98030086E-02  2.00000000E-01
   93  1.72933192E+01  2.93558049E-06  4.05247606E-04  1.98175443E-02  2.00000000E-01
   94  1.74933192E+01  2.89647685E-06  4.04660490E-04  1.98319155E-02  2.00000000E-01
   95  1.76933192E+01  2.85831568E-06  4.04081195E-04  1.98461261E-02  2.00000000E-01
   96  1.78933192E+01  2.82106422E-06  4.03509532E-04  1.98601794E-02  2.00000000E-01
   97  1.80933192E+01  2.78469120E-06  4.02945319E-04  1.98740788E-02  2.00000000E-01
   98  1.82933192E+01  2.74916673E-06  4.02388380E-04  1.98878278E-02  2.00000000E-01
   99  1.84933192E+01  2.71446225E-06  4.01838547E-04  1.99014293E-02  2.00000000E-01
  100  1.86933192E+01  2.68055046E-06  4.01295655E-04  1.99148866E-02  2.00000000E-01
  101  1.88933192E+01  2.64740524E-06  4.00759545E-04  1.99282025E-02  2.00000000E-01
  102  1.90933192E+01  2.61500158E-06  4.00230064E-04  1.99413801E-02  2.00000000E-01
  103  1.92933192E+01  2.58331555E-06  3.99707063E-04  1.99544221E-02  2.00000000E-01
  104  1.94933192E+01  2.55232420E-06  3.99190400E-04  1.99673312E-02  2.00000000E-01
  105  1.96933192E+01  2.52200556E-06  3.98679935E-04  1.99801101E-02  2.00000000E-01
  106  1.98933192E+01  2.49233855E-06  3.98175534E-04  1.99927613E-02  2.00000000E-01
