step   t[s]            hdot[m/s]       h[m]            R[m]            Dt[s]   
  288  5.62933192E+01  7.23538392E-07  3.51039638E-04  2.12927614E-02  2.00000000E-01
  289  5.64933192E+01  7.20452410E-07  3.50894930E-04  2.12971514E-02  2.00000000E-01
  290  5.66933192E+01  7.17390193E-07  3.50750840E-04  2.13015255E-02  2.00000000E-01
  291  5.68933192E+01  7.14351477E-07  3.50607361E-04  2.13058836E-02  2.00000000E-01
  292  5.70933192E+01  7.11336003E-07  3.50464491E-04  2.13102260E-02  2.00000000E-01
  293  5.72933192E+01  7.08343513E-07  3.50322224E-04  2.13145526E-02  2.00000000E-01
  294  5.74933192E+01  7.05373755E-07  3.50180555E-04  2.13188637E-02  2.00000000E-01
  295  5.76933192E+01  7.02426480E-07  3.50039481E-04  2.13231593E-02  2.00000000E-01
  296  5.78933192E+01  6.99501441E-07  3.49898995E-04  2.13274395E-02  2.00000000E-01
  297  5.80933192E+01  6.96598397E-07  3.49759095E-04  2.13317044E-02  2.00000000E-01
  298  5.82933192E+01  6.93717109E-07  3.49619775E-04  2.13359542E-02  2.00000000E-01
  299  5.84933192E+01  6.90857341E-07  3.49481032E-04  2.13401890E-02  2.00000000E-01
  300  5.86933192E+01  6.88018862E-07  3.49342860E-04  2.13444088E-02  2.00000000E-01
  301  5.88933192E+01  6.85201443E-07  3.49205257E-04  2.13486137E-02  2.00000000E-01
  302  5.90933192E+01  6.82404859E-07  3.49068216E-04  2.13528039E-02  2.00000000E-01
  303  5.92933192E+01  6.79628886E-07  3.48931735E-04  2.13569795E-02  2.00000000E-01
  304  5.94933192E+01  6.76873307E-07  3.48795810E-04  2.13611405E-02  2.00000000E-01
  305  5.96933192E+01  6.74137904E-07  3.48660435E-04  2.13652870E-02  2.00000000E-01
  306  5.98933192E+01  6.71422464E-07  3.48525607E-04  2.13694192E-02  2.00000000E-01
  307  6.00933192E+01  6.68726777E-07  3.48391323E-04  2.13735372E-02  2.00000000E-01
  308  6.02933192E+01  6.66050637E-07  3.48257577E-04  2.13776409E-02  2.00000000E-01
  309  6.04933192E+01  6.63393837E-07  3.48124367E-04  2.13817306E-02  2.00000000E-01
  310  6.06933192E+01  6.60756177E-07  3.47991689E-04  2.13858064E-02  2.00000000E-01
  311  6.08933192E+01  6.58137457E-07  3.47859537E-04  2.13898682E-02  2.00000000E-01
  312  6.10933192E+01  6.55537482E-07  3.47727910E-04  2.13939162E-02  2.00000000E-01
  313  6.12933192E+01  6.52956057E-07  3.47596802E-04  2.13979505E-02  2.00000000E-01
  314  6.14933192E+01  6.50392992E-07  3.47466211E-04  2.14019713E-02  2.00000000E-01
  315  6.16933192E+01  6.47848099E-07  3.47336133E-04  2.14059784E-02  2.00000000E-01
  316  6.18933192E+01  6.45321190E-07  3.47206563E-04  2.14099722E-02  2.00000000E-01
  317  6.20933192E+01  6.42812083E-07  3.47077499E-04  2.14139526E-02  2.00000000E-01
  318  6.22933192E+01  6.40320598E-07  3.46948936E-04  2.14179197E-02  2.00000000E-01
  319  6.24933192E+01  6.37846554E-07  3.46820872E-04  2.14218736E-02  2.00000000E-01
  320  6.26933192E+01  6.35389777E-07  3.46693303E-04  2.14258145E-02  2.00000000E-01
  321  6.28933192E+01  6.32950091E-07  3.46566225E-04  2.14297423E-02  2.00000000E-01
  322  6.30933192E+01  6.30527327E-07  3.46439635E-04  2.14336572E-02  2.00000000E-01
  323  6.32933192E+01  6.28121314E-07  3.46313529E-04  2.14375592E-02  2.00000000E-01
  324  6.34933192E+01  6.25731884E-07  3.46187905E-04  2.14414485E-02  2.00000000E-01
  325  6.36933192E+01  6.23358875E-07  3.46062759E-04  2.14453250E-02  2.00000000E-01
  326  6.38933192E+01  6.21002121E-07  3.45938087E-04  2.14491890E-02  2.00000000E-01
  327  6.40933192E+01  6.18661463E-07  3.45813887E-04  2.14530404E-02  2.00000000E-01
  328  6.42933192E+01  6.16336743E-07  3.45690154E-04  2.14568794E-02  2.00000000E-01
  329  6.44933192E+01  6.14027802E-07  3.45566887E-04  2.14607060E-02  2.00000000E-01
  330  6.46933192E+01  6.11734488E-07  3.45444081E-04  2.14645203E-02  2.00000000E-01
  331  6.48933192E+01  6.09456647E-07  3.45321734E-04  2.14683224E-02  2.00000000E-01
  332  6.50933192E+01  6.07194129E-07  3.45199843E-04  2.14721124E-02  2.00000000E-01
  333  6.52933192E+01  6.04946784E-07  3.45078404E-04  2.14758902E-02  2.00000000E-01
  334  6.54933192E+01  6.02714467E-07  3.44957415E-04  2.14796561E-02  2.00000000E-01
  335  6.56933192E+01  6.00497032E-07  3.44836872E-04  2.14834100E-02  2.00000000E-01
  336  6.58933192E+01  5.98294336E-07  3.44716773E-04  2.14871521E-02  2.00000000E-01
  337  6.60933192E+01  5.96106238E-07  3.44597114E-04  2.14908824E-02  2.00000000E-01
  338  6.62933192E+01  5.93932597E-07  3.44477893E-04  2.14946010E-02  2.00000000E-01
  339  6.64933192E+01  5.91773277E-07  3.44359106E-04  2.14983080E-02  2.00000000E-01
  340  6.66933192E+01  5.89628141E-07  3.44240751E-04  2.15020034E-02  2.00000000E-01
  341  6.68933192E+01  5.87497054E-07  3.44122826E-04  2.15056872E-02  2.00000000E-01
  342  6.70933192E+01  5.85379885E-07  3.44005326E-04  2.15093597E-02  2.00000000E-01
  343  6.72933192E+01  5.83276500E-07  3.43888250E-04  2.15130208E-02  2.00000000E-01
  344  6.74933192E+01  5.81186773E-07  3.43771595E-04  2.15166706E-02  2.00000000E-01
  345  6.76933192E+01  5.79110573E-07  3.43655358E-04  2.15203092E-02  2.00000000E-01
  346  6.78933192E+01  5.77047775E-07  3.43539536E-04  2.15239366E-02  2.00000000E-01
  347  6.80933192E+01  5.74998255E-07  3.43424126E-04  2.15275529E-02  2.00000000E-01
  348  6.82933192E+01  5.72961888E-07  3.43309126E-04  2.15311582E-02  2.00000000E-01
  349  6.84933192E+01  5.70938553E-07  3.43194534E-04  2.15347525E-02  2.00000000E-01
  350  6.86933192E+01  5.68928129E-07  3.43080346E-04  2.15383359E-02  2.00000000E-01
  351  6.88933192E+01  5.66930499E-07  3.42966561E-04  2.15419085E-02  2.00000000E-01
  352  6.90933192E+01  5.64945543E-07  3.42853175E-04  2.15454703E-02  2.00000000E-01
  353  6.92933192E+01  5.62973147E-07  3.42740185E-04  2.15490214E-02  2.00000000E-01
  354  6.94933192E+01  5.61013195E-07  3.42627591E-04  2.15525618E-02  2.00000000E-01
  355  6.96933192E+01  5.59065575E-07  3.42515388E-04  2.15560917E-02  2.00000000E-01
  356  6.98933192E+01  5.57130174E-07  3.42403575E-04  2.15596110E-02  2.00000000E-01
  357  7.00933192E+01  5.55206881E-07  3.42292149E-04  2.15631199E-02  2.00000000E-01
  358  7.02933192E+01  5.53295588E-07  3.42181108E-04  2.15666183E-02  2.00000000E-01
  359  7.04933192E+01  5.51396187E-07  3.42070449E-04  2.15701064E-02  2.00000000E-01
  360  7.06933192E+01  5.49508570E-07  3.41960169E-04  2.15735842E-02  2.00000000E-01
  361  7.08933192E+01  5.47632632E-07  3.41850268E-04  2.15770518E-02  2.00000000E-01
  362  7.10933192E+01  5.45768269E-07  3.41740741E-04  2.15805092E-02  2.00000000E-01
  363  7.12933192E+01  5.43915377E-07  3.41631587E-04  2.15839565E-02  2.00000000E-01
  364  7.14933192E+01  5.42073856E-07  3.41522804E-04  2.15873937E-02  2.00000000E-01
  365  7.16933192E+01  5.40243604E-07  3.41414390E-04  2.15908209E-02  2.00000000E-01
  366  7.18933192E+01  5.38424521E-07  3.41306341E-04  2.15942382E-02  2.00000000E-01
  367  7.20933192E+01  5.36616510E-07  3.41198656E-04  2.15976456E-02  2.00000000E-01
  368  7.22933192E+01  5.34819474E-07  3.41091333E-04  2.16010431E-02  2.00000000E-01
  369  7.24933192E+01  5.33033315E-07  3.40984369E-04  2.16044309E-02  2.00000000E-01
  370  7.26933192E+01  5.31257939E-07  3.40877762E-04  2.16078089E-02  2.00000000E-01
  371  7.28933192E+01  5.29493252E-07  3.40771510E-04  2.16111773E-02  2.00000000E-01
  372  7.30933192E+01  5.27739162E-07  3.40665612E-04  2.16145360E-02  2.00000000E-01
  373  7.32933192E+01  5.25995575E-07  3.40560064E-04  2.16178852E-02  2.00000000E-01
  374  7.34933192E+01  5.24262403E-07  3.40454865E-04  2.16212249E-02  2.00000000E-01
  375  7.36933192E+01  5.22539554E-07  3.40350012E-04  2.16245551E-02  2.00000000E-01
  376  7.38933192E+01  5.20826941E-07  3.40245504E-04  2.16278758E-02  2.00000000E-01
  377  7.40933192E+01  5.19124475E-07  3.40141339E-04  2.16311873E-02  2.00000000E-01
  378  7.42933192E+01  5.17432069E-07  3.40037514E-04  2.16344894E-02  2.00000000E-01
  379  7.44933192E+01  5.15749639E-07  3.39934028E-04  2.16377822E-02  2.00000000E-01
  380  7.46933192E+01  5.14077098E-07  3.39830878E-04  2.16410659E-02  2.00000000E-01
  381  7.48933192E+01  5.12414363E-07  3.39728062E-04  2.16443404E-02  2.00000000E-01
  382  7.50933192E+01  5.10761352E-07  3.39625580E-04  2.16476057E-02  2.00000000E-01
  383  7.52933192E+01  5.09117982E-07  3.39523427E-04  2.16508620E-02  2.00000000E-01
  384  7.54933192E+01  5.07484171E-07  3.39421604E-04  2.16541093E-02  2.00000000E-01
  385  7.56933192E+01  5.05859841E-07  3.39320107E-04  2.16573477E-02  2.00000000E-01
  386  7.58933192E+01  5.04244910E-07  3.39218935E-04  2.16605771E-02  2.00000000E-01
  387  7.60933192E+01  5.02639302E-07  3.39118086E-04  2.16637976E-02  2.00000000E-01
  388  7.62933192E+01  5.01042938E-07  3.39017558E-04  2.16670093E-02  2.00000000E-01
  389  7.64933192E+01  4.99455740E-07  3.38917349E-04  2.16702123E-02  2.00000000E-01
  390  7.66933192E+01  4.97877635E-07  3.38817458E-04  2.16734065E-02  2.00000000E-01
  391  7.68933192E+01  4.96308545E-07  3.38717883E-04  2.16765920E-02  2.00000000E-01
  392  7.70933192E+01  4.94748398E-07  3.38618621E-04  2.16797688E-02  2.00000000E-01
  393  7.72933192E+01  4.93197118E-07  3.38519671E-04  2.16829371E-02  2.00000000E-01
  394  7.74933192E+01  4.91654635E-07  3.38421032E-04  2.16860969E-02  2.00000000E-01
  395  7.76933192E+01  4.90120875E-07  3.38322701E-04  2.16892481E-02  2.00000000E-01
  396  7.78933192E+01  4.88595767E-07  3.38224677E-04  2.16923908E-02  2.00000000E-01
  397  7.80933192E+01  4.87079241E-07  3.38126958E-04  2.16955252E-02  2.00000000E-01
  398  7.82933192E+01  4.85571228E-07  3.38029542E-04  2.16986511E-02  2.00000000E-01
  399  7.84933192E+01  4.84071658E-07  3.37932428E-04  2.17017688E-02  2.00000000E-01
  400  7.86933192E+01  4.82580463E-07  3.37835613E-04  2.17048781E-02  2.00000000E-01
  401  7.88933192E+01  4.81097575E-07  3.37739097E-04  2.17079792E-02  2.00000000E-01
  402  7.90933192E+01  4.79622928E-07  3.37642878E-04  2.17110721E-02  2.00000000E-01
  403  7.92933192E+01  4.78156456E-07  3.37546953E-04  2.17141568E-02  2.00000000E-01
  404  7.94933192E+01  4.76698093E-07  3.37451322E-04  2.17172334E-02  2.00000000E-01
  405  7.96933192E+01  4.75247775E-07  3.37355982E-04  2.17203019E-02  2.00000000E-01
  406  7.98933192E+01  4.73805437E-07  3.37260933E-04  2.17233624E-02  2.00000000E-01
  407  8.00933192E+01  4.72371016E-07  3.37166172E-04  2.17264149E-02  2.00000000E-01
  408  8.02933192E+01  4.70944450E-07  3.37071697E-04  2.17294594E-02  2.00000000E-01
  409  8.04933192E+01  4.69525676E-07  3.36977508E-04  2.17324960E-02  2.00000000E-01
  410  8.06933192E+01  4.68114632E-07  3.36883603E-04  2.17355247E-02  2.00000000E-01
  411  8.08933192E+01  4.66711259E-07  3.36789980E-04  2.17385456E-02  2.00000000E-01
  412  8.10933192E+01  4.65315496E-07  3.36696638E-04  2.17415587E-02  2.00000000E-01
  413  8.12933192E+01  4.63927283E-07  3.36603575E-04  2.17445640E-02  2.00000000E-01
  414  8.14933192E+01  4.62546561E-07  3.36510790E-04  2.17475616E-02  2.00000000E-01
  415  8.16933192E+01  4.61173272E-07  3.36418280E-04  2.17505515E-02  2.00000000E-01
  416  8.18933192E+01  4.59807359E-07  3.36326046E-04  2.17535337E-02  2.00000000E-01
  417  8.20933192E+01  4.58448763E-07  3.36234084E-04  2.17565084E-02  2.00000000E-01
  418  8.22933192E+01  4.57097429E-07  3.36142394E-04  2.17594754E-02  2.00000000E-01
  419  8.24933192E+01  4.55753301E-07  3.36050975E-04  2.17624350E-02  2.00000000E-01
  420  8.26933192E+01  4.54416322E-07  3.35959824E-04  2.17653870E-02  2.00000000E-01
  421  8.28933192E+01  4.53086438E-07  3.35868941E-04  2.17683315E-02  2.00000000E-01
  422  8.30933192E+01  4.51763596E-07  3.35778324E-04  2.17712687E-02  2.00000000E-01
  423  8.32933192E+01  4.50447740E-07  3.35687971E-04  2.17741984E-02  2.00000000E-01
  424  8.34933192E+01  4.49138817E-07  3.35597881E-04  2.17771208E-02  2.00000000E-01
  425  8.36933192E+01  4.47836776E-07  3.35508054E-04  2.17800359E-02  2.00000000E-01
  426  8.38933192E+01  4.46541563E-07  3.35418486E-04  2.17829437E-02  2.00000000E-01
  427  8.40933192E+01  4.45253127E-07  3.35329178E-04  2.17858442E-02  2.00000000E-01
  428  8.42933192E+01  4.43971417E-07  3.35240127E-04  2.17887375E-02  2.00000000E-01
  429  8.44933192E+01  4.42696381E-07  3.35151333E-04  2.17916237E-02  2.00000000E-01
  430  8.46933192E+01  4.41427971E-07  3.35062794E-04  2.17945027E-02  2.00000000E-01
  431  8.48933192E+01  4.40166136E-07  3.34974508E-04  2.17973745E-02  2.00000000E-01
  432  8.50933192E+01  4.38910827E-07  3.34886475E-04  2.18002393E-02  2.00000000E-01
  433  8.52933192E+01  4.37661995E-07  3.34798693E-04  2.18030971E-02  2.00000000E-01
  434  8.54933192E+01  4.36419592E-07  3.34711160E-04  2.18059478E-02  2.00000000E-01
  435  8.56933192E+01  4.35183570E-07  3.34623877E-04  2.18087916E-02  2.00000000E-01
  436  8.58933192E+01  4.33953882E-07  3.34536840E-04  2.18116284E-02  2.00000000E-01
  437  8.60933192E+01  4.32730481E-07  3.34450049E-04  2.18144583E-02  2.00000000E-01
  438  8.62933192E+01  4.31513320E-07  3.34363503E-04  2.18172814E-02  2.00000000E-01
  439  8.64933192E+01  4.30302354E-07  3.34277200E-04  2.18200975E-02  2.00000000E-01
  440  8.66933192E+01  4.29097538E-07  3.34191140E-04  2.18229069E-02  2.00000000E-01
  441  8.68933192E+01  4.27898825E-07  3.34105320E-04  2.18257095E-02  2.00000000E-01
  442  8.70933192E+01  4.26706171E-07  3.34019741E-04  2.18285053E-02  2.00000000E-01
  443  8.72933192E+01  4.25519533E-07  3.33934399E-04  2.18312944E-02  2.00000000E-01
  444  8.74933192E+01  4.24338866E-07  3.33849295E-04  2.18340768E-02  2.00000000E-01
  445  8.76933192E+01  4.23164127E-07  3.33764428E-04  2.18368526E-02  2.00000000E-01
  446  8.78933192E+01  4.21995273E-07  3.33679795E-04  2.18396217E-02  2.00000000E-01
  447  8.80933192E+01  4.20832261E-07  3.33595396E-04  2.18423842E-02  2.00000000E-01
  448  8.82933192E+01  4.19675049E-07  3.33511229E-04  2.18451401E-02  2.00000000E-01
  449  8.84933192E+01  4.18523596E-07  3.33427294E-04  2.18478896E-02  2.00000000E-01
  450  8.86933192E+01  4.17377860E-07  3.33343590E-04  2.18506325E-02  2.00000000E-01
  451  8.88933192E+01  4.16237799E-07  3.33260114E-04  2.18533689E-02  2.00000000E-01
  452  8.90933192E+01  4.15103374E-07  3.33176866E-04  2.18560988E-02  2.00000000E-01
  453  8.92933192E+01  4.13974545E-07  3.33093846E-04  2.18588224E-02  2.00000000E-01
  454  8.94933192E+01  4.12851270E-07  3.33011051E-04  2.18615396E-02  2.00000000E-01
  455  8.96933192E+01  4.11733512E-07  3.32928481E-04  2.18642503E-02  2.00000000E-01
  456  8.98933192E+01  4.10621230E-07  3.32846134E-04  2.18669548E-02  2.00000000E-01
  457  9.00933192E+01  4.09514386E-07  3.32764010E-04  2.18696530E-02  2.00000000E-01
  458  9.02933192E+01  4.08412942E-07  3.32682107E-04  2.18723448E-02  2.00000000E-01
  459  9.04933192E+01  4.07316859E-07  3.32600424E-04  2.18750305E-02  2.00000000E-01
  460  9.06933192E+01  4.06226100E-07  3.32518961E-04  2.18777099E-02  2.00000000E-01
  461  9.08933192E+01  4.05140628E-07  3.32437716E-04  2.18803831E-02  2.00000000E-01
  462  9.10933192E+01  4.04060404E-07  3.32356687E-04  2.18830501E-02  2.00000000E-01
  463  9.12933192E+01  4.02985394E-07  3.32275875E-04  2.18857110E-02  2.00000000E-01
  464  9.14933192E+01  4.01915560E-07  3.32195278E-04  2.18883658E-02  2.00000000E-01
  465  9.16933192E+01  4.00850867E-07  3.32114895E-04  2.18910145E-02  2.00000000E-01
  466  9.18933192E+01  3.99791278E-07  3.32034725E-04  2.18936572E-02  2.00000000E-01
  467  9.20933192E+01  3.98736759E-07  3.31954767E-04  2.18962938E-02  2.00000000E-01
  468  9.22933192E+01  3.97687274E-07  3.31875019E-04  2.18989244E-02  2.00000000E-01
  469  9.24933192E+01  3.96642789E-07  3.31795482E-04  2.19015490E-02  2.00000000E-01
  470  9.26933192E+01  3.95603269E-07  3.31716153E-04  2.19041677E-02  2.00000000E-01
  471  9.28933192E+01  3.94568680E-07  3.31637033E-04  2.19067804E-02  2.00000000E-01
  472  9.30933192E+01  3.93538988E-07  3.31558119E-04  2.19093873E-02  2.00000000E-01
  473  9.32933192E+01  3.92514160E-07  3.31479411E-04  2.19119883E-02  2.00000000E-01
  474  9.34933192E+01  3.91494163E-07  3.31400908E-04  2.19145834E-02  2.00000000E-01
  475  9.36933192E+01  3.90478964E-07  3.31322610E-04  2.19171727E-02  2.00000000E-01
  476  9.38933192E+01  3.89468530E-07  3.31244514E-04  2.19197562E-02  2.00000000E-01
  477  9.40933192E+01  3.88462828E-07  3.31166620E-04  2.19223339E-02  2.00000000E-01
  478  9.42933192E+01  3.87461828E-07  3.31088927E-04  2.19249059E-02  2.00000000E-01
  479  9.44933192E+01  3.86465496E-07  3.31011435E-04  2.19274721E-02  2.00000000E-01
  480  9.46933192E+01  3.85473802E-07  3.30934142E-04  2.19300327E-02  2.00000000E-01
  481  9.48933192E+01  3.84486715E-07  3.30857047E-04  2.19325875E-02  2.00000000E-01
  482  9.50933192E+01  3.83504203E-07  3.30780150E-04  2.19351367E-02  2.00000000E-01
  483  9.52933192E+01  3.82526235E-07  3.30703449E-04  2.19376803E-02  2.00000000E-01
  484  9.54933192E+01  3.81552783E-07  3.30626944E-04  2.19402183E-02  2.00000000E-01
  485  9.56933192E+01  3.80583814E-07  3.30550633E-04  2.19427507E-02  2.00000000E-01
  486  9.58933192E+01  3.79619300E-07  3.30474516E-04  2.19452775E-02  2.00000000E-01
  487  9.60933192E+01  3.78659211E-07  3.30398593E-04  2.19477989E-02  2.00000000E-01
  488  9.62933192E+01  3.77703518E-07  3.30322861E-04  2.19503147E-02  2.00000000E-01
  489  9.64933192E+01  3.76752191E-07  3.30247320E-04  2.19528250E-02  2.00000000E-01
  490  9.66933192E+01  3.75805201E-07  3.30171970E-04  2.19553298E-02  2.00000000E-01
  491  9.68933192E+01  3.74862521E-07  3.30096809E-04  2.19578292E-02  2.00000000E-01
  492  9.70933192E+01  3.73924121E-07  3.30021836E-04  2.19603232E-02  2.00000000E-01
  493  9.72933192E+01  3.72989975E-07  3.29947051E-04  2.19628118E-02  2.00000000E-01
  494  9.74933192E+01  3.72060052E-07  3.29872453E-04  2.19652950E-02  2.00000000E-01
  495  9.76933192E+01  3.71134327E-07  3.29798041E-04  2.19677729E-02  2.00000000E-01
  496  9.78933192E+01  3.70212772E-07  3.29723814E-04  2.19702454E-02  2.00000000E-01
  497  9.80933192E+01  3.69295360E-07  3.29649772E-04  2.19727126E-02  2.00000000E-01
  498  9.82933192E+01  3.68382063E-07  3.29575913E-04  2.19751746E-02  2.00000000E-01
  499  9.84933192E+01  3.67472855E-07  3.29502236E-04  2.19776313E-02  2.00000000E-01
  500  9.86933192E+01  3.66567710E-07  3.29428742E-04  2.19800827E-02  2.00000000E-01
  501  9.88933192E+01  3.65666601E-07  3.29355428E-04  2.19825289E-02  2.00000000E-01
  502  9.90933192E+01  3.64769503E-07  3.29282295E-04  2.19849699E-02  2.00000000E-01
  503  9.92933192E+01  3.63876389E-07  3.29209341E-04  2.19874058E-02  2.00000000E-01
  504  9.94933192E+01  3.62987234E-07  3.29136566E-04  2.19898364E-02  2.00000000E-01
  505  9.96933192E+01  3.62102012E-07  3.29063968E-04  2.19922620E-02  2.00000000E-01
  506  9.98933192E+01  3.61220699E-07  3.28991548E-04  2.19946824E-02  2.00000000E-01
